id,name,url,pictureURL,first_tag,second_tag,top_five_tags
4045,The Jam,http://www.last.fm/music/The+Jam,http://userserve-ak.last.fm/serve/252/9602615.jpg,181,16,punk new wave mod 80s rock
4046,Foreigner,http://www.last.fm/music/Foreigner,http://userserve-ak.last.fm/serve/252/43426395.jpg,192,25,classic rock 80s rock pop 70s
4047,Smokie,http://www.last.fm/music/Smokie,http://userserve-ak.last.fm/serve/252/57090.jpg,195,505,british english
4048,The Hooters,http://www.last.fm/music/The+Hooters,http://userserve-ak.last.fm/serve/252/329638.jpg,25,26,80s atmospheric alternative pop rock
4049,Traveling Wilburys,http://www.last.fm/music/Traveling+Wilburys,http://userserve-ak.last.fm/serve/252/558980.jpg,192,25,classic rock 80s rock
4050,Claire Voyant,http://www.last.fm/music/Claire+Voyant,http://userserve-ak.last.fm/serve/252/235861.jpg,569,1990,darkwave claire voyant electronic ethereal gothic
4051,Xandria,http://www.last.fm/music/Xandria,http://userserve-ak.last.fm/serve/252/55111573.png,7,89,gothic metal symphonic metal female fronted metal gothic rock
4052,Leaves' Eyes,http://www.last.fm/music/Leaves%27+Eyes,http://userserve-ak.last.fm/serve/252/60083765.png,7,89,gothic metal symphonic metal female fronted metal gothic metal
4053,Sirenia,http://www.last.fm/music/Sirenia,http://userserve-ak.last.fm/serve/252/56046335.jpg,7,89,gothic metal symphonic metal gothic female fronted metal death metal
4054,Hungry Lucy,http://www.last.fm/music/Hungry+Lucy,http://userserve-ak.last.fm/serve/252/41829659.png,569,130,darkwave female vocalists synthpop female vocalist trip-hop
4055,Cardamon,http://www.last.fm/music/Cardamon,http://userserve-ak.last.fm/serve/252/164551.jpg,0,0,
4056,Twilight Soundtrack,http://www.last.fm/music/Twilight+Soundtrack,http://userserve-ak.last.fm/serve/252/61556275.jpg,184,185,soundtrack acoustic
4057,Now,http://www.last.fm/music/Now,http://userserve-ak.last.fm/serve/252/234979.jpg,0,0,
4058,Shadowplay,http://www.last.fm/music/Shadowplay,http://userserve-ak.last.fm/serve/252/270783.jpg,0,0,
4059,Agua de Annique,http://www.last.fm/music/Agua+de+Annique,http://userserve-ak.last.fm/serve/252/58192823.png,130,78,female vocalists alternative rock beautiful rock atmospheric
4060,Chandeen,http://www.last.fm/music/Chandeen,http://userserve-ak.last.fm/serve/252/51023051.jpg,0,0,
4061,Mar de Grises,http://www.last.fm/music/Mar+de+Grises,http://userserve-ak.last.fm/serve/252/32517705.jpg,6334,0,atmospheric doom metal
4062,Six Magics,http://www.last.fm/music/Six+Magics,http://userserve-ak.last.fm/serve/252/22878491.jpg,0,0,
4063,Liv Kristine,http://www.last.fm/music/Liv+Kristine,http://userserve-ak.last.fm/serve/252/49689027.png,27,130,ethereal female vocalists mellow heavenly voice
4064,Foundation,http://www.last.fm/music/Foundation,http://userserve-ak.last.fm/serve/252/44180907.jpg,4982,7530,jamaica jamaican
4065,Fobia,http://www.last.fm/music/Fobia,http://userserve-ak.last.fm/serve/252/42011891.jpg,5798,6945,xcause berep shows the love inlove i want to dance in my underwear depre
4066,Octavia Sperati,http://www.last.fm/music/Octavia+Sperati,http://userserve-ak.last.fm/serve/252/3760998.jpg,0,0,
4067,Anneke van Giersbergen,http://www.last.fm/music/Anneke+van+Giersbergen,http://userserve-ak.last.fm/serve/252/54412729.png,26,185,atmospheric acoustic
4068,Kari Rueslåtten,http://www.last.fm/music/Kari+Ruesl%C3%A5tten,http://userserve-ak.last.fm/serve/252/43296213.png,0,0,
4069,Télépopmusik,http://www.last.fm/music/T%C3%A9l%C3%A9popmusik,http://userserve-ak.last.fm/serve/252/13847207.jpg,21,18,trip-hop electronic downtempo chillout lounge
4070,WIZO,http://www.last.fm/music/WIZO,http://userserve-ak.last.fm/serve/252/37820613.jpg,788,1991,play this loud enough to raise the dead my 500 essential songs punk
4071,Die Ärzte,http://www.last.fm/music/Die+%C3%84rzte,http://userserve-ak.last.fm/serve/252/33194291.png,182,6696,punk rock deutschrock deutsch german punk
4072,Die Toten Hosen,http://www.last.fm/music/Die+Toten+Hosen,http://userserve-ak.last.fm/serve/252/52839613.jpg,182,73,punk rock rock punk german deutschrock
4073,Os Pedrero,http://www.last.fm/music/Os+Pedrero,http://userserve-ak.last.fm/serve/252/126624.jpg,1992,1993,eses muleq eh da pesada melhor que cine hardcore
4074,Terrorgruppe,http://www.last.fm/music/Terrorgruppe,http://userserve-ak.last.fm/serve/252/2989616.jpg,0,0,
4075,Månegarm,http://www.last.fm/music/M%C3%A5negarm,http://userserve-ak.last.fm/serve/252/24072747.jpg,1997,0,dookaralho
4076,Merda,http://www.last.fm/music/Merda,http://userserve-ak.last.fm/serve/252/3656446.jpg,0,0,
4077,Turmion Kätilöt,http://www.last.fm/music/Turmion+K%C3%A4til%C3%B6t,http://userserve-ak.last.fm/serve/252/10554713.jpg,6,1,industrial metal metal industrial finnish friends
4078,Lacrimas Profundere,http://www.last.fm/music/Lacrimas+Profundere,http://userserve-ak.last.fm/serve/252/45320629.png,7,190,gothic metal gothic rock doom metal metal
4079,Asesino,http://www.last.fm/music/Asesino,http://userserve-ak.last.fm/serve/252/574269.jpg,5,735,death metal grindcore brutal death metal
4080,Gramofocas,http://www.last.fm/music/Gramofocas,http://userserve-ak.last.fm/serve/252/214147.jpg,181,182,punk punk rock beer bubblegum drinking songs
4081,Poison,http://www.last.fm/music/Poison,http://userserve-ak.last.fm/serve/252/28033499.jpg,842,72,hair metal hard rock 80s rock classic rock
4082,Confide,http://www.last.fm/music/Confide,http://userserve-ak.last.fm/serve/252/31000303.jpg,180,370,post-hardcore metalcore screamo christian metal
4083,Life in Your Way,http://www.last.fm/music/Life+in+Your+Way,http://userserve-ak.last.fm/serve/252/48316007.jpg,292,194,folk hardcore freak folk experimental post-hardcore
4084,"Woe, Is Me",http://www.last.fm/music/Woe%2C+Is+Me,http://userserve-ak.last.fm/serve/252/45945211.png,180,178,post-hardcore screamo experimental cover
4085,Blessed by a Broken Heart,http://www.last.fm/music/Blessed+by+a+Broken+Heart,http://userserve-ak.last.fm/serve/252/7682283.jpg,275,929,post-punk lo-fi metalcore hardcore noise
4086,Demon Hunter,http://www.last.fm/music/Demon+Hunter,http://userserve-ak.last.fm/serve/252/40524733.jpg,370,1,metalcore metal christian metal nu metal hardcore
4087,Disarmonia Mundi,http://www.last.fm/music/Disarmonia+Mundi,http://userserve-ak.last.fm/serve/252/46957.jpg,379,1,melodic death metal metal death metal progressive metal gothenburg metal
4088,In Irons,http://www.last.fm/music/In+Irons,http://userserve-ak.last.fm/serve/252/35965151.jpg,370,1239,metalcore christian progressive hardcore berep shows the love
4089,Stigmata,http://www.last.fm/music/Stigmata,http://userserve-ak.last.fm/serve/252/52526641.png,370,1805,metalcore russian alternative alternative emocore alternative rock
4090,Kyte,http://www.last.fm/music/Kyte,http://userserve-ak.last.fm/serve/252/41731363.png,88,87,psychedelic post-rock ambient electronic shoegaze
4091,LeCrae,http://www.last.fm/music/LeCrae,http://userserve-ak.last.fm/serve/252/57105669.jpg,0,0,
4092,Vinnie Paz,http://www.last.fm/music/Vinnie+Paz,http://userserve-ak.last.fm/serve/252/28378905.jpg,0,0,
4093,Switchfoot,http://www.last.fm/music/Switchfoot,http://userserve-ak.last.fm/serve/252/40694677.jpg,73,78,rock alternative rock christian rock christian alternative
4094,Nightrage,http://www.last.fm/music/Nightrage,http://userserve-ak.last.fm/serve/252/17056909.jpg,379,2014,melodic death metal gothenburg metal swedish death metal gothenburg
4095,Staind,http://www.last.fm/music/Staind,http://userserve-ak.last.fm/serve/252/258325.jpg,73,79,rock alternative alternative rock hard rock metal
4096,Europe,http://www.last.fm/music/Europe,http://userserve-ak.last.fm/serve/252/35965501.jpg,25,72,80s hard rock rock classic rock hair metal
4097,Nero,http://www.last.fm/music/Nero,http://userserve-ak.last.fm/serve/252/46387069.jpg,70,18,dubstep electronic drum and bass
4098,ColdWorld,http://www.last.fm/music/ColdWorld,http://userserve-ak.last.fm/serve/252/5558902.jpg,2048,4,depressive black metal black metal dark ambient symphonic black metal atmospheric black metal
4099,Lucero,http://www.last.fm/music/Lucero,http://userserve-ak.last.fm/serve/252/52187769.jpg,2025,350,alt-country latin pop no idea alt country rock
4100,The Bouncing Souls,http://www.last.fm/music/The+Bouncing+Souls,http://userserve-ak.last.fm/serve/252/18041321.jpg,181,182,punk punk rock singalong punk 90s new jersey
4101,Lifetime,http://www.last.fm/music/Lifetime,http://userserve-ak.last.fm/serve/252/26632569.jpg,0,0,
4102,Ann Beretta,http://www.last.fm/music/Ann+Beretta,http://userserve-ak.last.fm/serve/252/27316.jpg,0,0,
4103,The Lawrence Arms,http://www.last.fm/music/The+Lawrence+Arms,http://userserve-ak.last.fm/serve/252/59396.jpg,0,0,
4104,Jawbreaker,http://www.last.fm/music/Jawbreaker,http://userserve-ak.last.fm/serve/252/286451.jpg,182,181,punk rock punk emo alternative i bet he does
4105,Alkaline Trio,http://www.last.fm/music/Alkaline+Trio,http://userserve-ak.last.fm/serve/252/103615.jpg,181,79,punk alternative punk rock rock pop punk
4106,Jets to Brazil,http://www.last.fm/music/Jets+to+Brazil,http://userserve-ak.last.fm/serve/252/13081467.jpg,81,5288,indie cigarettes the songs that make me sick with butterflies
4107,Hot Water Music,http://www.last.fm/music/Hot+Water+Music,http://userserve-ak.last.fm/serve/252/13229511.jpg,176,1992,emo eses muleq eh da pesada punk rock indie rock post-hardcore
4108,A Radio With Guts,http://www.last.fm/music/A+Radio+With+Guts,http://userserve-ak.last.fm/serve/252/213717.jpg,0,0,
4109,The Loved Ones,http://www.last.fm/music/The+Loved+Ones,http://userserve-ak.last.fm/serve/252/109363.jpg,182,0,punk rock
4110,Descendents,http://www.last.fm/music/Descendents,http://userserve-ak.last.fm/serve/252/110049.jpg,181,169,punk pop punk brings back memories rock 80s hardcore
4111,Chris Mills,http://www.last.fm/music/Chris+Mills,http://userserve-ak.last.fm/serve/252/90092.jpg,0,0,
4112,The Gaslight Anthem,http://www.last.fm/music/The+Gaslight+Anthem,http://userserve-ak.last.fm/serve/252/24040133.jpg,181,127,punk seen live punk rock rock new jersey
4113,Dillinger Four,http://www.last.fm/music/Dillinger+Four,http://userserve-ak.last.fm/serve/252/13496.jpg,0,0,
4114,The Suicide Machines,http://www.last.fm/music/The+Suicide+Machines,http://userserve-ak.last.fm/serve/252/339721.jpg,181,229,punk epic ska punk exactly hardcore
4115,The Thermals,http://www.last.fm/music/The+Thermals,http://userserve-ak.last.fm/serve/252/52876.jpg,73,216,rock american awesome-ness noise pop lo-fi
4116,The Broadways,http://www.last.fm/music/The+Broadways,http://userserve-ak.last.fm/serve/252/152393.jpg,0,0,
4117,The Get Up Kids,http://www.last.fm/music/The+Get+Up+Kids,http://userserve-ak.last.fm/serve/252/42840967.jpg,176,81,emo indie sad awesome the get up kids
4118,The Swellers,http://www.last.fm/music/The+Swellers,http://userserve-ak.last.fm/serve/252/7262765.jpg,181,2017,punk pop-punk flint michigan
4119,The Anniversary,http://www.last.fm/music/The+Anniversary,http://userserve-ak.last.fm/serve/252/28670.jpg,79,81,alternative indie
4120,Bane,http://www.last.fm/music/Bane,http://userserve-ak.last.fm/serve/252/27426561.jpg,194,229,hardcore epic 00s 90s usa
4121,Zolof the Rock & Roll Destroyer,http://www.last.fm/music/Zolof%2Bthe%2BRock%2B%2526%2BRoll%2BDestroyer,http://userserve-ak.last.fm/serve/252/12219659.jpg,81,24,indie pop powerpop ich liebe dich happygoodfunandhandclaps
4122,The Hard Lessons,http://www.last.fm/music/The+Hard+Lessons,http://userserve-ak.last.fm/serve/252/9711095.jpg,0,0,
4123,Bear vs. Shark,http://www.last.fm/music/Bear+vs.+Shark,http://userserve-ak.last.fm/serve/252/54354131.png,180,5617,post-hardcore i pretty much cried when you broke up post hardcore
4124,Streetlight Manifesto,http://www.last.fm/music/Streetlight+Manifesto,http://userserve-ak.last.fm/serve/252/44573035.jpg,181,265,punk ska ska punk alternative rock
4125,7Seconds,http://www.last.fm/music/7Seconds,http://userserve-ak.last.fm/serve/252/44745823.jpg,194,181,hardcore punk 80s hardcore punk straight edge
4126,River City Rebels,http://www.last.fm/music/River+City+Rebels,http://userserve-ak.last.fm/serve/252/410163.jpg,0,0,
4127,H2O,http://www.last.fm/music/H2O,http://userserve-ak.last.fm/serve/252/28708479.jpg,194,25,hardcore 80s straight edge epic punk
4128,Common Rider,http://www.last.fm/music/Common+Rider,http://userserve-ak.last.fm/serve/252/84548.jpg,265,279,ska ska punk
4129,Operation Ivy,http://www.last.fm/music/Operation+Ivy,http://userserve-ak.last.fm/serve/252/2721464.jpg,279,229,ska punk epic exactly 80s punk
4130,Angry Samoans,http://www.last.fm/music/Angry+Samoans,http://userserve-ak.last.fm/serve/252/299812.jpg,25,122,80s old school punk my favourite songs radio romania
4131,The Satin Peaches,http://www.last.fm/music/The+Satin+Peaches,http://userserve-ak.last.fm/serve/252/188981.jpg,0,0,
4132,Reel Big Fish,http://www.last.fm/music/Reel+Big+Fish,http://userserve-ak.last.fm/serve/252/291942.jpg,181,265,punk ska rock ska punk marisa mix
4133,"Defiance, Ohio",http://www.last.fm/music/Defiance%2C+Ohio,http://userserve-ak.last.fm/serve/252/34719411.jpg,185,210,acoustic 00s folk lefties anarchist
4134,Pennywise,http://www.last.fm/music/Pennywise,http://userserve-ak.last.fm/serve/252/4508687.jpg,182,181,punk rock punk hardcore lol melodic hardcore
4135,Off With Their Heads,http://www.last.fm/music/Off+With+Their+Heads,http://userserve-ak.last.fm/serve/252/25324957.jpg,73,0,rock
4136,Bombshell Rocks,http://www.last.fm/music/Bombshell+Rocks,http://userserve-ak.last.fm/serve/252/9244.jpg,0,0,
4137,Bop Star,http://www.last.fm/music/Bop+Star,,0,0,
4138,Strung Out,http://www.last.fm/music/Strung+Out,http://userserve-ak.last.fm/serve/252/364753.jpg,181,0,punk
4139,The Spill Canvas,http://www.last.fm/music/The+Spill+Canvas,http://userserve-ak.last.fm/serve/252/20033367.jpg,79,81,alternative indie rock alternative rock country pop
4140,The Queers,http://www.last.fm/music/The+Queers,http://userserve-ak.last.fm/serve/252/15293755.jpg,181,242,punk power pop punk rock ramonescore poppunk
4141,Мои Ракеты Вверх,http://www.last.fm/music/%D0%9C%D0%BE%D0%B8+%D0%A0%D0%B0%D0%BA%D0%B5%D1%82%D1%8B+%D0%92%D0%B2%D0%B5%D1%80%D1%85,http://userserve-ak.last.fm/serve/252/10878861.jpg,81,127,indie seen live russian indie rock post-rock
4142,7раса,http://www.last.fm/music/7%D1%80%D0%B0%D1%81%D0%B0,http://userserve-ak.last.fm/serve/252/32747537.jpg,1805,1345,russian alternative post-grunge grunge alternative indie
4143,The New Law,http://www.last.fm/music/The+New+Law,http://userserve-ak.last.fm/serve/252/57953115.jpg,21,70,trip-hop dubstep
4144,Everything Is Made in China,http://www.last.fm/music/Everything+Is+Made+in+China,http://userserve-ak.last.fm/serve/252/40141963.jpg,87,81,post-rock indie experimental russian amazing
4145,Адаптация Пчёл,http://www.last.fm/music/%D0%90%D0%B4%D0%B0%D0%BF%D1%82%D0%B0%D1%86%D0%B8%D1%8F+%D0%9F%D1%87%D1%91%D0%BB,http://userserve-ak.last.fm/serve/252/47032797.jpg,79,339,alternative russian post-grunge cyber-grunge industrial
4146,The American Dollar,http://www.last.fm/music/The+American+Dollar,http://userserve-ak.last.fm/serve/252/24172915.jpg,87,14,post-rock ambient electronic instrumental beautiful
4147,ITAKDALEE,http://www.last.fm/music/ITAKDALEE,http://userserve-ak.last.fm/serve/252/54188653.jpg,2036,81,new prog indie russian
4148,Caspian,http://www.last.fm/music/Caspian,http://userserve-ak.last.fm/serve/252/3332133.jpg,87,33,post-rock experimental instrumental ambient indie
4149,Мои Любимые Игры,http://www.last.fm/music/%D0%9C%D0%BE%D0%B8+%D0%9B%D1%8E%D0%B1%D0%B8%D0%BC%D1%8B%D0%B5+%D0%98%D0%B3%D1%80%D1%8B,http://userserve-ak.last.fm/serve/252/249595.jpg,176,185,emo acoustic
4150,Линия,http://www.last.fm/music/%D0%9B%D0%B8%D0%BD%D0%B8%D1%8F,http://userserve-ak.last.fm/serve/252/3108309.jpg,176,185,emo acoustic
4151,Slot,http://www.last.fm/music/Slot,http://userserve-ak.last.fm/serve/252/24023353.jpg,0,0,
4152,Preslee,http://www.last.fm/music/Preslee,http://userserve-ak.last.fm/serve/252/43402961.jpg,81,130,indie female vocalists ukrainian
4153,NEVERSMILE,http://www.last.fm/music/NEVERSMILE,http://userserve-ak.last.fm/serve/252/240383.jpg,176,186,emo emocore epic alternative
4154,Rout,http://www.last.fm/music/Rout,http://userserve-ak.last.fm/serve/252/29381583.jpg,70,229,dubstep epic
4155,Scotch,http://www.last.fm/music/Scotch,http://userserve-ak.last.fm/serve/252/38344209.jpg,186,0,emocore
4156,Eye Alaska,http://www.last.fm/music/Eye+Alaska,http://userserve-ak.last.fm/serve/252/46075671.jpg,0,0,
4157,Комната,http://www.last.fm/music/%D0%9A%D0%BE%D0%BC%D0%BD%D0%B0%D1%82%D0%B0,http://userserve-ak.last.fm/serve/252/57705671.jpg,176,185,emo acoustic indie hoy tengo ganas de llorar awesome
4158,QUEST PISTOLs,http://www.last.fm/music/QUEST+PISTOLs,http://userserve-ak.last.fm/serve/252/27419129.jpg,24,39,pop dance female vocalists emo soundtrack
4159,Perfume Genius,http://www.last.fm/music/Perfume+Genius,http://userserve-ak.last.fm/serve/252/50728329.png,8970,0,0 play yet
4160,Loc-Dog,http://www.last.fm/music/Loc-Dog,http://userserve-ak.last.fm/serve/252/50246775.jpg,0,0,
4161,Tesla Boy,http://www.last.fm/music/Tesla+Boy,http://userserve-ak.last.fm/serve/252/58387241.png,74,16,synthpop new wave electronic synth pop russian
4162,100 Bitches,http://www.last.fm/music/100+Bitches,http://userserve-ak.last.fm/serve/252/49316395.jpg,2040,81,punk77 indie
4163,Audio Bullys,http://www.last.fm/music/Audio+Bullys,http://userserve-ak.last.fm/serve/252/12036429.jpg,102,187,hip-hop electronica electronic electro house dance
4164,The Author,http://www.last.fm/music/The+Author,http://userserve-ak.last.fm/serve/252/41560049.jpg,0,0,
4165,Netsky,http://www.last.fm/music/Netsky,http://userserve-ak.last.fm/serve/252/49576743.jpg,620,0,drum and bass
4166,The Undertones,http://www.last.fm/music/The+Undertones,http://userserve-ak.last.fm/serve/252/39208557.png,181,242,punk power pop british punk britpop pop punk
4167,The Yardbirds,http://www.last.fm/music/The+Yardbirds,http://userserve-ak.last.fm/serve/252/325012.jpg,192,247,classic rock 60s rock blues psychedelic
4168,Paloma Faith,http://www.last.fm/music/Paloma+Faith,http://userserve-ak.last.fm/serve/252/36057303.png,130,619,female vocalists soul pop alternative dance
4169,Lila Downs,http://www.last.fm/music/Lila+Downs,http://userserve-ak.last.fm/serve/252/33652089.jpg,130,308,female vocalists latin oaxaca folk world
4170,Marion Raven,http://www.last.fm/music/Marion+Raven,http://userserve-ak.last.fm/serve/252/8434219.png,109,73,pop rock rock
4171,Kill Hannah,http://www.last.fm/music/Kill+Hannah,http://userserve-ak.last.fm/serve/252/223015.jpg,81,79,indie alternative alternative rock rock seen live
4172,Descartes a Kant,http://www.last.fm/music/Descartes+a+Kant,http://userserve-ak.last.fm/serve/252/10911575.jpg,0,0,
4173,Ronan Keating,http://www.last.fm/music/Ronan+Keating,http://userserve-ak.last.fm/serve/252/50379135.png,24,213,pop beautiful cover 4m4zinq rock
4174,Marit Larsen,http://www.last.fm/music/Marit+Larsen,http://userserve-ak.last.fm/serve/252/13278235.jpg,134,81,singer-songwriter indie pop female vocalists 2008
4175,Cauterize,http://www.last.fm/music/Cauterize,http://userserve-ak.last.fm/serve/252/6042.jpg,73,176,rock emo alternative punk canadian
4176,Julieta Venegas,http://www.last.fm/music/Julieta+Venegas,http://userserve-ak.last.fm/serve/252/34082217.png,24,130,pop female vocalists latin spanish singer-songwriter
4177,Stefanie Heinzmann,http://www.last.fm/music/Stefanie+Heinzmann,http://userserve-ak.last.fm/serve/252/36056371.png,127,24,seen live pop female vocalists
4178,Taking Back Sunday,http://www.last.fm/music/Taking+Back+Sunday,http://userserve-ak.last.fm/serve/252/48550187.jpg,79,73,alternative rock indie awesome emo
4179,Stanfour,http://www.last.fm/music/Stanfour,http://userserve-ak.last.fm/serve/252/54264713.png,73,79,rock alternative male vocalists pop german
4180,Every Avenue,http://www.last.fm/music/Every+Avenue,http://userserve-ak.last.fm/serve/252/61902125.jpg,73,169,rock pop punk powerpop song that makes me cry male vocalists
4181,Deicide,http://www.last.fm/music/Deicide,http://userserve-ak.last.fm/serve/252/177504.jpg,5,736,death metal brutal death metal metal seen live black metal
4182,Deströyer 666,http://www.last.fm/music/Destr%C3%B6yer+666,http://userserve-ak.last.fm/serve/252/34801507.jpg,2056,4,blackened thrash metal black metal thrash metal fucking awesome play this loud enough to raise the dead
4183,Vintersorg,http://www.last.fm/music/Vintersorg,http://userserve-ak.last.fm/serve/252/2852172.jpg,4,595,black metal swedish folk metal viking metal progressive metal
4184,Entombed,http://www.last.fm/music/Entombed,http://userserve-ak.last.fm/serve/252/25831669.jpg,5,2055,death metal death n roll old school death metal swedish metal fucking awesome
4185,Nargaroth,http://www.last.fm/music/Nargaroth,http://userserve-ak.last.fm/serve/252/3016291.jpg,30,2048,german depressive black metal true black metal metal black metal
4186,Borknagar,http://www.last.fm/music/Borknagar,http://userserve-ak.last.fm/serve/252/15860261.jpg,4,1360,black metal viking metal folk metal progressive metal progressive black metal
4187,Burzum,http://www.last.fm/music/Burzum,http://userserve-ak.last.fm/serve/252/42729717.jpg,4,568,black metal dark ambient norwegian black metal metal true norwegian black metal
4188,Darkthrone,http://www.last.fm/music/Darkthrone,http://userserve-ak.last.fm/serve/252/7700503.jpg,4,5,black metal death metal norway crust thrash metal
4189,Celtic Frost,http://www.last.fm/music/Celtic+Frost,http://userserve-ak.last.fm/serve/252/53477033.jpg,4,91,black metal thrash metal metal rock hard heavy metal
4190,Nihilist,http://www.last.fm/music/Nihilist,http://userserve-ak.last.fm/serve/252/2178098.jpg,0,0,
4191,Obituary,http://www.last.fm/music/Obituary,http://userserve-ak.last.fm/serve/252/40114027.jpg,5,1266,death metal old school death metal powerful thrash metal brutal death metal
4192,Krisiun,http://www.last.fm/music/Krisiun,http://userserve-ak.last.fm/serve/252/29511833.jpg,5,1,death metal metal
4193,Possessed,http://www.last.fm/music/Possessed,http://userserve-ak.last.fm/serve/252/8757.jpg,91,5,thrash metal death metal metal old school death metal
4194,Girlschool,http://www.last.fm/music/Girlschool,http://userserve-ak.last.fm/serve/252/10647595.jpg,380,72,heavy metal hard rock rock metal nwobhm
4195,Chrome Division,http://www.last.fm/music/Chrome+Division,http://userserve-ak.last.fm/serve/252/8483577.jpg,0,0,
4196,Cathedral,http://www.last.fm/music/Cathedral,http://userserve-ak.last.fm/serve/252/38170299.jpg,82,127,doom metal seen live stoner metal
4197,Silencer,http://www.last.fm/music/Silencer,http://userserve-ak.last.fm/serve/252/20163999.jpg,2048,2049,depressive black metal suicidal black metal dsbm black metal
4198,Glittertind,http://www.last.fm/music/Glittertind,http://userserve-ak.last.fm/serve/252/26284789.jpg,0,0,
4199,Sarcófago,http://www.last.fm/music/Sarc%C3%B3fago,http://userserve-ak.last.fm/serve/252/13791521.jpg,4,5,black metal death metal thrash metal metal brazilian
4200,Rebel Meets Rebel,http://www.last.fm/music/Rebel+Meets+Rebel,http://userserve-ak.last.fm/serve/252/47424155.jpg,8307,0,country metal
4201,Arcturus,http://www.last.fm/music/Arcturus,http://userserve-ak.last.fm/serve/252/535600.jpg,32,4,avant-garde black metal avant-garde metal metal progressive metal
4202,Doro,http://www.last.fm/music/Doro,http://userserve-ak.last.fm/serve/252/42818139.png,380,1,heavy metal metal hard rock female fronted metal
4203,Hellhammer,http://www.last.fm/music/Hellhammer,http://userserve-ak.last.fm/serve/252/36869145.jpg,4,2328,black metal foreign
4204,Mütiilation,http://www.last.fm/music/M%C3%BCtiilation,http://userserve-ak.last.fm/serve/252/358932.jpg,0,0,
4205,The Carburetors,http://www.last.fm/music/The+Carburetors,http://userserve-ak.last.fm/serve/252/325592.jpg,9930,0,rocknroll
4206,Dissection,http://www.last.fm/music/Dissection,http://userserve-ak.last.fm/serve/252/47999039.jpg,4,91,black metal thrash metal melodic death metal epic dark
4207,Drake Bell,http://www.last.fm/music/Drake+Bell,http://userserve-ak.last.fm/serve/252/52817979.png,73,109,rock pop rock pop indie indie rock
4208,Hayden Panettiere,http://www.last.fm/music/Hayden+Panettiere,http://userserve-ak.last.fm/serve/252/5913534.jpg,24,285,pop awesome summer song disney
4209,Wolf Eyes & Black Dice,http://www.last.fm/music/Wolf%2BEyes%2B%2526%2BBlack%2BDice,http://userserve-ak.last.fm/serve/252/2239958.jpg,0,0,
4210,Corbin Bleu,http://www.last.fm/music/Corbin+Bleu,http://userserve-ak.last.fm/serve/252/33632599.png,399,24,disney pop rnb male vocalist lpa
4211,Andy Fletcher,http://www.last.fm/music/Andy+Fletcher,http://userserve-ak.last.fm/serve/252/34004577.jpg,497,25,live 80s dance electronica 00s
4212,Minerve,http://www.last.fm/music/Minerve,http://userserve-ak.last.fm/serve/252/53320751.jpg,18,74,electronic synthpop futurepop german new wave
4213,Линда,http://www.last.fm/music/%D0%9B%D0%B8%D0%BD%D0%B4%D0%B0,http://userserve-ak.last.fm/serve/252/4928193.jpg,24,15,pop downtempo russian female vocalist rock
4214,Валерий Меладзе,http://www.last.fm/music/%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9+%D0%9C%D0%B5%D0%BB%D0%B0%D0%B4%D0%B7%D0%B5,http://userserve-ak.last.fm/serve/252/7545585.jpg,24,210,pop 00s russian 90s
4215,Браво,http://www.last.fm/music/%D0%91%D1%80%D0%B0%D0%B2%D0%BE,http://userserve-ak.last.fm/serve/252/510550.jpg,73,2176,rock russian rock
4216,Christian Eigner,http://www.last.fm/music/Christian+Eigner,http://userserve-ak.last.fm/serve/252/2153975.jpg,18,0,electronic
4217,Дмитрий Маликов,http://www.last.fm/music/%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9+%D0%9C%D0%B0%D0%BB%D0%B8%D0%BA%D0%BE%D0%B2,http://userserve-ak.last.fm/serve/252/50798585.jpg,14,0,ambient
4218,Гости из будущего,http://www.last.fm/music/%D0%93%D0%BE%D1%81%D1%82%D0%B8+%D0%B8%D0%B7+%D0%B1%D1%83%D0%B4%D1%83%D1%89%D0%B5%D0%B3%D0%BE,http://userserve-ak.last.fm/serve/252/204383.jpg,24,231,pop ballad sexy soul jungle
4219,Daggers,http://www.last.fm/music/Daggers,http://userserve-ak.last.fm/serve/252/52688727.jpg,18,195,electronic british
4220,Alpinestars,http://www.last.fm/music/Alpinestars,http://userserve-ak.last.fm/serve/252/67343.jpg,18,1809,electronic manchester favourite songs groovesuspects synth-pop
4221,Timofey & Bartosz Brenes vs Terri B!,http://www.last.fm/music/Timofey%2B%2526%2BBartosz%2BBrenes%2Bvs%2BTerri%2BB%2521,http://userserve-ak.last.fm/serve/252/51463419.jpg,0,0,
4222,Timo Maas,http://www.last.fm/music/Timo+Maas,http://userserve-ak.last.fm/serve/252/55053523.jpg,18,39,electronic dance trance rave deutschland
4223,Trash Palace,http://www.last.fm/music/Trash+Palace,http://userserve-ak.last.fm/serve/252/12764249.jpg,1482,15,sex downtempo electronic dance rock
4224,Client,http://www.last.fm/music/Client,http://userserve-ak.last.fm/serve/252/303586.jpg,18,195,electronic british synthpop female vocalists electroclash
4225,Akcent,http://www.last.fm/music/Akcent,http://userserve-ak.last.fm/serve/252/57152135.png,39,24,dance pop electronic eurodance
